id,price
0,1380.96
1,6374.88
2,1731.3
3,4054.085
4,1738.38
5,8965.11
6,739.24
7,813.66
8,611.1875
9,13962.09
10,413.15
11,943.085
12,1150.27
13,1632.25
14,1579.85
15,3161.23
16,1309.03
17,1048.64
18,2812.06
19,1748.54
20,5372.45
21,6008.46
22,3110.74
23,13628.606666666665
24,742.81
25,4854.94
26,1422.26
27,9391.99
28,462.73
29,804.86
30,6647.65
31,611.96
32,530.19
33,876.96
34,1760.22
35,13543.12
36,930.89
37,472.39
38,986.64
39,1807.05
40,3534.14
41,5989.84
42,6501.23
43,2476.78
44,8146.81
45,6156.34
46,5226.18
47,2437.04
48,2833.57
49,4422.47
50,700.99
51,5059.97
52,749.79
53,10794.72
54,680.79
55,7983.23
56,406.27
57,535.93
58,943.0
59,2401.503333333333
60,853.1
61,1023.79
62,512.41
63,4656.34
64,3289.6
65,792.2
66,508.96
67,901.305
68,649.09
69,626.57
70,1929.95
71,10871.08
72,698.11
73,1504.48
74,3607.7233333333334
75,1673.83
76,767.15
77,10040.83
78,2750.74
79,2312.92
80,947.02
81,2875.15
82,8435.73
83,697.87
84,802.39
85,1053.19
86,2285.48
87,1216.7
88,2737.08
89,6615.72
90,1323.76
91,1736.16
92,803.11
93,5281.35
94,1190.05
95,452.01
96,781.6683333333333
97,10709.68
98,625.77
99,5748.85
100,6229.63
101,9162.94
102,4557.295666666667
103,14430.38
104,13379.03
105,509.95
106,496.71
107,669.13
108,5062.8
109,2058.51
110,4087.92
111,5972.82
112,4036.18
113,721.02
114,7395.1399999999985
115,1695.35
116,1373.25
117,1041.04
118,1259.26
119,1866.09
120,1764.56
121,1981.8
122,14464.53
123,10650.5
124,8280.08
125,823.16
126,713.51
127,1051.54
128,3344.32
129,789.7
130,4260.65
131,2344.48
132,10527.19
133,708.28
134,2371.82
135,887.795
136,7915.61
137,13605.4
138,1279.43
139,4330.18
140,2330.15
141,4039.47
142,1731.85
143,10810.33
144,3526.94
145,1249.87
146,894.7
147,1886.5
148,2228.56
149,1835.56
150,6682.44
151,4362.61
152,2602.57
153,1310.88
154,1132.32
155,697.22
156,1706.88
157,1622.96
158,1026.93
159,2202.13
160,1791.63
161,2437.48
162,1592.12
163,835.21
164,656.72
165,4563.97
166,606.74
167,1232.08
168,14449.26
169,2530.89
170,3500.85
171,1324.62
172,662.96
173,2257.92
174,8676.21
175,4097.53
176,4118.3
177,4727.3
178,5090.79
179,1242.15
180,12972.53
181,628.5
182,9392.99
183,1628.25
184,1045.61
185,7478.5
186,936.83
187,2729.44
188,2084.19
189,725.78
190,4381.33
191,645.98
192,2186.85
193,10084.31
194,2168.03
195,1167.43
196,12343.71
197,757.73
198,808.97
199,786.91
200,4866.77
201,2546.58
202,777.905
203,921.49
204,5097.96
205,2210.45
206,13639.39
207,12988.42
208,3984.135
209,720.0
210,5503.64
211,2175.83
212,3667.9433333333336
213,2913.9
214,989.77
215,6058.09
216,1937.9
217,684.43
218,4677.48
219,755.94
220,1867.9
221,1712.11
222,1230.54
223,15226.22
224,2164.71
225,1470.46
226,2877.19
227,4447.02
228,707.49
229,5714.16
230,7810.52
231,3247.18
232,970.09
233,617.35
234,1449.47
235,1738.85
236,2239.99
237,798.4
238,705.26
239,8778.88
240,1258.04
241,4258.74
242,8537.1
243,8367.78
244,852.64
245,2343.33
246,12816.07
247,4261.88
248,503.59
249,1063.63
250,2487.874166666667
251,850.32
252,857.92
253,2725.76
254,13369.68
255,8841.62
256,13694.04
257,773.45
258,6162.57
259,527.44
260,723.71
261,8280.54
262,10336.17
263,2090.02
264,820.02
265,2088.38
266,888.51
267,613.19
268,847.9860000000001
269,3390.62
270,1634.26
271,2168.63
272,3712.81
273,4070.6
274,975.51
